Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.49,Metropolitan Books,Hardcover,282,2014,2014,,2023/06/23,to-read,to-read (#38),to-read,,,,0,0
58890783,Either/Or,Elif Batuman,"Batuman, Elif",,"=""0525557598""","=""9780525557593""",0,3.99,Penguin Press,Hardcover,368,2022,2022,,2023/06/12,to-read,to-read (#37),to-read,,,,0,0
123160766,The Two of Us,Taylor  Torres,"Torres, Taylor",,"=""""","=""9798218155940""",0,4.13,Taylor Torres,Paperback,349,2023,,,2023/06/09,to-read,to-read (#36),to-read,,,,0,0
60741787,It. Goes. So. Fast.: The Year of No Do-Overs,Mary Louise Kelly,"Kelly, Mary Louise",,"=""1250859859""","=""9781250859853""",0,3.85,Henry Holt and Co.,Hardcover,240,2023,2023,,2023/06/09,to-read,to-read (#35),to-read,,,,0,0
61272271,The Good Life: Lessons from the World's Longest Scientific Study of Happiness,Robert Waldinger,"Waldinger, Robert",Marc Schulz,"=""1982166711""","=""9781982166717""",0,4.15,Simon & Schuster,ebook,352,2023,2023,,2023/06/09,to-read,to-read (#34),to-read,,,,0,0
62562931,Same Time Next Summer,Annabel Monaghan,"Monaghan, Annabel",,"=""059354496X""","=""9780593544969""",0,3.75,G.P. Putnam's Sons,Paperback,320,2023,2023,,2023/06/09,to-read,to-read (#33),to-read,,,,0,0
23492533,Swear on This Life,Renee Carlino,"Carlino, Renee",,"=""1501105795""","=""9781501105791""",0,4.13,Atria Books,Paperback,303,2016,2016,,2023/06/07,to-read,to-read (#32),to-read,,,,0,0
50027029,You Deserve Each Other,Sarah Hogle,"Hogle, Sarah",,"=""""","=""""",0,3.90,G.P. Putnam's Sons,Kindle Edition,368,2020,2020,,2023/06/07,to-read,to-read (#31),to-read,,,,0,0
58909880,The House Across the Lake,Riley Sager,"Sager, Riley",,"=""""","=""""",0,3.59,Hodder & Stoughton,ebook,369,2022,2022,,2023/06/07,to-read,to-read (#30),to-read,,,,0,0
1472878,"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,"Hannah, Kristin",,"=""0312364083""","=""9780312364083""",0,4.19,St. Martin's Press,Hardcover,479,2008,2008,,2023/06/07,to-read,to-read (#29),to-read,,,,0,0
61272658,"Murder Your Employer (The McMasters Guide to Homicide, #1)",Rupert Holmes,"Holmes, Rupert",,"=""1451648219""","=""9781451648218""",0,3.82,Avid Reader Press / Simon & Schuster,Hardcover,400,2023,2023,,2023/06/06,to-read,to-read (#28),to-read,,,,0,0
15808841,Baseball as a Road to God: Seeing Beyond the Game,John Sexton,"Sexton, John","Thomas Oliphant, Peter J. Schwartz","=""1592407544""","=""9781592407545""",0,3.74,Gotham,Hardcover,256,2013,2013,,2023/04/29,to-read,to-read (#27),to-read,,,,0,0
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,"=""0385495323""","=""9780385495325""",0,4.30,Anchor,Paperback,432,2000,1999,,2023/04/26,to-read,to-read (#26),to-read,,,,0,0
57028269,Conversations on Love,Natasha Lunn,"Lunn, Natasha",,"=""0241448735""","=""9780241448731""",0,4.22,Viking,Hardcover,320,2021,2021,,2022/12/18,to-read,to-read (#25),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,4.47,Random House,Hardcover,352,2018,2018,,2023/04/10,to-read,to-read (#24),to-read,,,,0,0
